bh_id,enum_id,strokes_water_1,strokes_water_2,strokes_water_3,pump_strokes_1,pump_strokes_2,pump_strokes_3,pump_time_1,pump_time_2,pump_time_3,pump_cap_1,pump_cap_2,pump_cap_3,leak_rate_10_1,leak_rate_10_2,leak_rate_10_3,flow_rate_1,flow_rate_2,flow_rate_3,conductivity,turbidity,starttime
101,e1,0,0,0,63,55,52,66,51,48,317.4603175,363.6363636,384.6153846,0,0,0,1.090909091,1.411764706,1.5,558,4.670000076,2019-11-13 02:24:22 UTC
101,e2,0,0,0,56,55,56,51,49,50,357.1428571,363.6363636,357.1428571,0,0,0,1.411764706,1.469387755,1.44,556,2.690000057,2019-11-13 01:55:20 UTC
101,e4,0,0,0,54,55,55,50,49,45,370.3703704,363.6363636,363.6363636,0,0,0,1.44,1.469387755,1.6,558,0.839999974,2019-11-13 03:29:52 UTC
101,e3,0,0,0,55,54,54,56,51,50,363.6363636,370.3703704,370.3703704,0,0,0,1.285714286,1.411764706,1.44,565,3.940000057,2019-11-13 01:16:18 UTC
102,e1,16,14,15,56,54,53,65,61,64,357.1428571,370.3703704,377.3584906,571.4285714,518.5185185,566.0377358,1.107692308,1.180327869,1.125,284,0.529999971,2019-11-14 01:09:36 UTC
102,e2,15,15,15,59,53,51,60,52,50,338.9830508,377.3584906,392.1568627,508.4745763,566.0377358,588.2352941,1.2,1.384615385,1.44,275,0.910000026,2019-11-14 02:37:23 UTC
102,e4,16,17,16,49,53,51,49,56,49,408.1632653,377.3584906,392.1568627,653.0612245,641.509434,627.4509804,1.469387755,1.285714286,1.469387755,394,0.330000013,2019-11-14 00:27:47 UTC
102,e3,13,12,11,48,49,47,44,47,44,416.6666667,408.1632653,425.5319149,541.6666667,489.7959184,468.0851064,1.636363636,1.531914894,1.636363636,364,1.019999981,2019-11-14 02:36:52 UTC
103,e1,6,6,5,80,80,80,89,85,84,250,250,250,150,150,125,0.808988764,0.847058824,0.857142857,446,2.539999962,2019-11-15 05:55:53 UTC
103,e2,6,6,6,80,79,79,77,70,73,250,253.164557,253.164557,150,151.8987342,151.8987342,0.935064935,1.028571429,0.98630137,454,2.309999943,2019-11-15 06:49:53 UTC
103,e4,6,5,4,75,67,66,83,89,101,266.6666667,298.5074627,303.030303,160,149.2537313,121.2121212,0.86746988,0.808988764,0.712871287,444,1.799999952,2019-11-15 03:52:18 UTC
103,e3,6,6,6,81,82,80,79,77,72,246.9135802,243.902439,250,148.1481481,146.3414634,150,0.911392405,0.935064935,1,451,1.570000052,2019-11-15 05:00:45 UTC
104,e2,0,0,0,56,54,55,52,49,50,357.1428571,370.3703704,363.6363636,0,0,0,1.384615385,1.469387755,1.44,505,1.299999952,2019-11-18 02:19:50 UTC
